Cluster 1,Center,x=86.000000, y=64.000000
Date,High,Low,
9/8/2017,85,67,6
10/9/2017,87,65,6
10/18/2017,86,67,6
7/11/2018,90,72,6
7/12/2018,88,70,6
7/13/2018,83,69,6
7/14/2018,84,69,6
7/15/2018,87,70,6
7/16/2018,84,69,6
7/18/2018,83,69,6
7/19/2018,86,70,6
7/22/2018,88,68,6
7/25/2018,90,72,6
7/26/2018,88,71,6
7/27/2018,84,70,6
7/28/2018,86,70,6
7/30/2018,87,70,6
7/31/2018,88,70,6
8/1/2018,90,71,6
8/2/2018,90,71,6
8/5/2018,89,68,6
8/11/2018,90,73,6
8/12/2018,88,69,6
8/13/2018,86,68,6
8/14/2018,84,68,6
8/15/2018,86,69,6
8/16/2018,86,72,6
8/17/2018,87,72,6
8/18/2018,85,71,6
8/19/2018,86,69,6
8/20/2018,86,70,6
8/21/2018,86,70,6
8/22/2018,84,70,6
8/23/2018,84,68,6
8/24/2018,84,67,6
8/29/2018,85,67,6
8/30/2018,87,65,6
8/31/2018,85,65,6
9/10/2018,84,67,6
9/15/2018,86,65,6
9/16/2018,87,64,6
,,,
,,,
Cluster 8,Center,x=87.000000, y=65.000000
Date,High,Low,
3/9/2014,84,58,7
3/16/2014,90,56,7
4/7/2014,85,55,7
4/8/2014,88,58,7
4/9/2014,89,57,7
4/29/2014,92,59,7
5/11/2014,86,58,7
5/12/2014,90,59,7
9/24/2014,88,62,7
10/8/2014,87,63,7
10/22/2014,84,60,7
10/23/2014,85,60,7
10/24/2014,88,59,7
10/29/2014,85,59,7
11/6/2014,90,61,7
11/7/2014,89,60,7
11/8/2014,89,59,7
11/27/2014,89,58,7
1/6/2015,84,57,7
2/11/2015,85,55,7
2/12/2015,85,56,7
2/13/2015,88,57,7
2/14/2015,86,56,7
3/7/2015,86,54,7
3/12/2015,86,56,7
3/13/2015,90,61,7
3/25/2015,84,60,7
4/3/2015,86,57,7
4/4/2015,84,59,7
4/29/2015,89,60,7
4/30/2015,86,60,7
5/1/2015,84,57,7
6/8/2015,85,60,7
6/9/2015,86,62,7
